ts,ear,iris,yaw,pitch,roll,status,confidence
1784025336.8674276,0.4947422384986825,1.3846752471874928,-6.008491038224078,-76.92839717260678,166.60850295685503,Focused,0.9586793275804361
1784074801.701049,0.8379593866161288,2.1093706905898753,134.28627051848127,86.92009125947952,-41.76577112036038,Focused,0.9999861184847354
1784074990.8624325,0.48463383014617856,1.6257713908795088,-2.0231266756339523,-71.60409949364029,170.24091394880855,Focused,0.7627490297375974
1784074991.1050541,0.4797272635154536,1.6188349436997302,0.33282860057394426,1.5359338541038596,-4.520535005482714,Focused,0.6886959805016362
1784074991.3273485,0.37796488211481455,1.5960694238666384,0.5888237260893088,-22.142386019628542,52.70941868152109,Not Focused,0.6144230898790801
1784074991.5089352,0.41067828496532444,1.6032258310355831,0.9286441835237933,2.0071090507220184,-5.391372137216379,Not Focused,0.5633063021731023
1784074991.7142587,0.4383521058238344,1.6100864574221307,0.6556968660230644,-12.791035003778623,29.84615449490847,Focused,0.596552756647249
1784074991.918043,0.4558466009879953,1.6137282917325158,0.3671945784015079,-22.726080509097557,53.56927048385878,Focused,0.7030379790694662
1784074992.1030538,0.46962182051295337,1.6125439211086356,0.040797194824509574,-29.890043212631184,70.73220240941042,Focused,0.7761903820700229
1784074992.3175712,0.4768402415858991,1.6104508302687346,-0.21702321800293306,-35.301431269657215,83.67316249966547,Focused,0.798850353988112
1784074992.5179956,0.4813857771238907,1.6106372701780944,-0.44285809453658376,-39.533548270261505,93.76919039950262,Focused,0.8053092299683986
1784074992.7176208,0.4875453540137119,1.6096601104497428,-0.9403924291442454,-42.91470948744656,102.16484802798446,Focused,0.8156740388941642
1784074992.905385,0.4905962621112921,1.607925389652295,-1.5152443535231919,-43.143340603860025,67.27601422584837,Focused,0.8302131379408926
1784074993.1111932,0.49464200300199196,1.6077239056823085,-2.9549032546625704,-43.55783885474108,102.67971307125921,Focused,0.8334359716078392
1784074993.314283,0.5302138692593683,1.6152849676963679,-4.3581327963941145,-29.59209770197966,103.34702606103656,Focused,0.8750631606742825
1784074993.5032501,0.5316933901454783,1.6111343005877852,-5.8937832746125345,-44.57005302068519,104.01271060711038,Focused,0.8800576546517066
1784074993.7012713,0.5333637284617784,1.6131465882012623,-7.57785042614689,-30.34877994204651,103.94058979612296,Focused,0.8579633362307042
1784074993.9158165,0.5271226730384886,1.6073019282162133,-9.056406499116678,-16.13590282896869,103.8053761242647,Focused,0.866482730612842
1784074994.1021283,0.5304400085448611,1.6243169933098192,-11.703667132254205,-17.153926806950736,70.24808183374279,Focused,0.877671212175264
1784074994.31075,0.545330153557056,1.6441423025153825,-15.209954845807948,-18.314197757918222,37.5809219832998,Focused,0.9645126961541262
1784074994.5182228,0.5625374836015249,1.6662104615626017,-19.35373770521794,-19.52766038835651,5.554114514344886,Focused,0.9761140521798891
1784074994.7081234,0.5808661076151773,1.689209305833661,-22.80762417330497,-20.73734847491363,-27.13720097243126,Focused,0.976533384131222
